City/Region,Attraction Name,Entrance Fee (KZT / USD),Opening Hours,Closed Days,Address,Google Maps Link,Distance from City Center (km / min),Parking / Shuttle Info,Top Photo Spots / Highlights,Short Description (for website),Seasonal Notes,Source / Verified Date
Samarkand,Registan Square,30000 UZS (10 USD),09:00–18:00,None,"Registan, Samarkand",https://www.google.com/maps/search/?api=1&query=Registan%20Square%20Samarkand,Central / 0–5 km / 5–15 min,Public parking nearby,Timurid madrasas; ornate tilework,Iconic Timurid ensemble of three madrasas in Samarkand's historic centre.,Peak season busy; ticket required.,"Needs verification - Nov 03, 2025"
Samarkand,Shah-i-Zinda Necropolis,20000 UZS (6–8 USD),09:00–18:00,None,"Shah-i-Zinda, Samarkand",https://www.google.com/maps/search/?api=1&query=Shah-i-Zinda%20Samarkand,1–5 km / 5–15 min,Parking nearby,Blue-tiled mausoleums,Complex of intricately tiled mausoleums and shrines.,Delicate surfaces — respectful photography.,"Needs verification - Nov 03, 2025"
Samarkand,Gur-Emir Mausoleum,15000 UZS (3–5 USD),09:00–17:00,None,"Gur-Emir, Samarkand",https://www.google.com/maps/search/?api=1&query=Gur%20Emir%20Mausoleum%20Samarkand,1–5 km / 5–15 min,Parking nearby,Mausoleum dome; interior decoration,Mausoleum of Timur with notable architecture and tomb.,Check opening for restoration works.,"Needs verification - Nov 03, 2025"
Samarkand,Bibi-Khanym Mosque,Free / small donation,09:00–18:00,None,"Bibi-Khanym, Samarkand",https://www.google.com/maps/search/?api=1&query=Bibi%20Khanym%20Mosque%20Samarkand,1–5 km / 5–15 min,Parking nearby,Great gate; mosque courtyard,Large historic mosque originally built for Timur's wife with grand portal.,Restoration ongoing at times.,"Needs verification - Nov 03, 2025"
Samarkand,Siab Bazaar,Free,06:00–18:00,None,"Siab Bazaar, Samarkand",https://www.google.com/maps/search/?api=1&query=Siab%20Bazaar%20Samarkand,1–3 km / 5–10 min,Bazaar parking,Produce stalls; bread ovens,"Traditional bazaar providing local produce, breads and crafts.",Best mornings for fresh goods.,"Needs verification - Nov 03, 2025"
Samarkand,Ulugh Beg Observatory,10000 UZS (3 USD),09:00–17:00,None,"Ulugh Beg Observatory, Samarkand",https://www.google.com/maps/search/?api=1&query=Ulugh%20Beg%20Observatory%20Samarkand,2–6 km / 10–25 min,Parking nearby,Observatory ruins,Remains of famous medieval observatory with historical exhibits.,Outdoor site; hot in summer.,"Needs verification - Nov 03, 2025"
Samarkand,Afrasiyab Museum,8000 UZS (2–3 USD),09:00–18:00,None,"Afrasiyab, Samarkand",https://www.google.com/maps/search/?api=1&query=Afrasiyab%20Museum%20Samarkand,3–8 km / 15–30 min,Museum parking,Frescoes; archaeological finds,Museum of the ancient Afrasiyab settlement with archaeological finds.,Indoor galleries; closed some weekdays.,"Needs verification - Nov 03, 2025"
Samarkand,Hazrat Khizr Mosque,Free,Prayer times,None,"Hazrat Khizr Mosque, Samarkand",https://www.google.com/maps/search/?api=1&query=Hazrat%20Khizr%20Mosque%20Samarkand,Varies,Parking nearby,Mosque courtyard,Local mosque with historical ties; quiet courtyard.,Respectful dress required.,"Needs verification - Nov 03, 2025"
Samarkand,Imam al-Bukhari Complex,Free,09:00–18:00,None,"Imam al-Bukhari Complex, Samarkand",https://www.google.com/maps/search/?api=1&query=Imam%20al%20Bukhari%20Complex%20Samarkand,Varies,Parking nearby,Shrine; mausoleum architecture,Complex dedicated to Imam al-Bukhari with religious significance.,Respectful behavior required.,"Needs verification - Nov 03, 2025"
Samarkand,Samarkand Silk Paper Factory,5000 UZS (1.8 USD),09:00–17:00,None,"Paper Factory, Samarkand",https://www.google.com/maps/search/?api=1&query=Samarkand%20Silk%20Paper%20Factory,Varies,Factory parking,Paper-making demos; souvenirs,Traditional paper-making demonstrations and souvenirs.,Workshops may be seasonal.,"Needs verification - Nov 03, 2025"
