City/Region,Attraction Name,Entrance Fee (KZT / USD),Opening Hours,Closed Days,Address,Google Maps Link,Distance from City Center (km / min),Parking / Shuttle Info,Top Photo Spots / Highlights,Short Description (for website),Seasonal Notes,Source / Verified Date
Tashkent,Khast-Imam Complex,Free; some ticketed areas (2000 UZS),09:00–18:00,None,"Khast-Imam, Tashkent",https://www.google.com/maps/search/?api=1&query=Khast%20Imam%20Complex%20Tashkent ,2–5 km / 10–20 min,Local parking,Imam al-Bukhari library; madrasa facades,Religious and historical complex with ancient manuscripts and mosques.,Respectful dress required; busy on Fridays.,"Needs verification - Nov 03, 2025"
Tashkent,Chorsu Bazaar,Free,08:00–19:00,None,"Chorsu Bazaar, Tashkent",https://www.google.com/maps/search/?api=1&query=Chorsu%20Bazaar%20Tashkent ,2 km / 10 min,Bazaar parking nearby,Colorful stalls; breads; spices,Historic central bazaar showcasing Uzbek produce and crafts.,Best mornings for fresh produce.,"Needs verification - Nov 03, 2025"
Tashkent,Amir Timur Square,Free,24/7,None,"Amir Timur Square, Tashkent",https://www.google.com/maps/search/?api=1&query=Amir%20Timur%20Square%20Tashkent ,1–5 km / 5–15 min,Street parking,Statue of Amir Timur; fountains,Central square featuring the statue of Timur and city panoramas.,Ceremonial events may occur.,"Needs verification - Nov 03, 2025"
Tashkent,Minor Mosque,Free,Prayer times,None,"Minor Mosque, Tashkent",https://www.google.com/maps/search/?api=1&query=Minor%20Mosque%20Tashkent ,varies,Parking at mosque,Mosque architecture; courtyards,Local mosque often visited by tourists for its architecture.,Respectful dress required.,"Needs verification - Nov 03, 2025"
Tashkent,Tashkent City Park,Free,06:00–22:00,None,"City Park, Tashkent",https://www.google.com/maps/search/?api=1&query=Tashkent%20City%20Park ,3–8 km / 10–25 min,Park parking,Green lawns; lake; sculptures,Large urban park with recreation areas and events.,Seasonal festivals in summer.,"Needs verification - Nov 03, 2025"
Tashkent,Tashkent TV Tower,1000 UZS (0.4 USD),10:00–19:00,None,"TV Tower, Tashkent",https://www.google.com/maps/search/?api=1&query=Tashkent%20TV%20Tower ,4–10 km / 15–30 min,Parking at tower,Observation deck; city views,Tall TV tower with observation platform offering city views.,Observation access may close for maintenance.,"Needs verification - Nov 03, 2025"
Tashkent,State Museum of History of Uzbekistan,3000 UZS (1.3 USD),10:00–17:00,Monday,"State Museum, Tashkent",https://www.google.com/maps/search/?api=1&query=State%20Museum%20of%20History%20of%20Uzbekistan ,2–6 km / 10–20 min,Museum parking,Historical exhibits,Main national museum relating Uzbekistan's history and culture.,Closed Mondays.,"Needs verification - Nov 03, 2025"
Tashkent,Broadway Street (Sailgokh),Free,All day,None,Broadway (Sailgokh) Tashkent,https://www.google.com/maps/search/?api=1&query=Broadway%20Street%20Sailgokh%20Tashkent ,2–5 km / 10–20 min,Street parking,Pedestrian art; cafes; sculptures,"Pedestrian street with street artists, cafes and nightlife.",Evenings lively.,"Needs verification - Nov 03, 2025"
Tashkent,Japanese Garden,2000 UZS (0.9 USD),09:00–18:00,None,"Japanese Garden, Tashkent",https://www.google.com/maps/search/?api=1&query=Japanese%20Garden%20Tashkent ,6–12 km / 20–35 min,Park parking,Ponds; traditional layout,Quiet Japanese-style garden in Tashkent perfect for photos.,Best in spring and autumn.,"Needs verification - Nov 03, 2025"
Tashkent,Magic City Amusement Park,Ticketed per ride,10:00–20:00,None,"Magic City, Tashkent",https://www.google.com/maps/search/?api=1&query=Magic%20City%20Amusement%20Park%20Tashkent ,10–20 km / 20–40 min,Large parking,Rides; family attractions,Large amusement park suitable for families and children.,Seasonal hours; check opening schedule.,"Needs verification - Nov 03, 2025"
